Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1440202077091,1440202092020,14929,0,0,0,
1,1440202092081,1440203747286,1655205,1,1,1,
2,1440203747304,1440203878276,130972,2,2,2,
3,1440203879299,1440204012608,133309,3 4,4,3,
4,1440204012637,1440204143715,131078,5 6,6,5,
5,1440204143739,1440204273593,129854,7 8,8,7,
6,1440204273638,1440204419113,145475,9,9,9,
