Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,102551,102718,167,0.16258106
1,867769,868226,457,0.052636065
2,280149,280234,85,0.030331794
3,371674,371750,76,0.020443846
4,358597,358675,78,0.021746706
5,343291,343366,75,0.021842582
6,342933,343008,75,0.021865379
7,338609,338672,63,0.01860207
8,305171,305234,63,0.020639902
9,348807,348875,68,0.019491222
10,303014,303073,59,0.019467257
11,346391,346442,51,0.014721079
12,251527,251622,95,0.037755046
13,17238,17284,46,0.2661421
