Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,4598,4704,106,2.2534013
1,141089,141340,251,0.17758596
2,1160,1225,65,5.3061223
3,3287,3394,107,3.1526222
4,1686,1754,68,3.876853
5,1571,1614,43,2.6641884
6,2552,2577,25,0.97012025
