Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440165079259,1440165084708,5449,True,
1,count at DataValidators.scala:38,,800,1440165084987,1440165288709,203722,True,
2,count at GradientDescent.scala:161,,800,1440165288788,1440165290037,1249,True,
3,treeAggregate at GradientDescent.scala:189,,800,1440165291149,1440165294135,2986,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1440165294148,1440165294555,407,True,
5,treeAggregate at GradientDescent.scala:189,,800,1440165294648,1440165296442,1794,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1440165296448,1440165296623,175,True,
7,treeAggregate at GradientDescent.scala:189,,800,1440165296685,1440165298485,1800,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1440165298490,1440165298636,146,True,
9,mean at LogisticRegressionApp.java:93,,800,1440165298688,1440165302317,3629,True,
