Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1440165079095,1440165084714,5619,0,0,0,
1,1440165084741,1440165288709,203968,1,1,1,
2,1440165288725,1440165290037,1312,2,2,2,
3,1440165291043,1440165294555,3512,3 4,4,3,
4,1440165294581,1440165296623,2042,5 6,6,5,
5,1440165296646,1440165298636,1990,7 8,8,7,
6,1440165298661,1440165302317,3656,9,9,9,
