Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,130909,131047,138,0.105305724
1,1136481,1136923,442,0.03887686
2,400264,400353,89,0.022230381
3,426145,426222,77,0.018065702
4,472339,472412,73,0.015452613
5,554686,554760,74,0.013339102
6,454637,454701,64,0.014075182
7,410689,410756,67,0.016311387
8,427728,427784,56,0.013090719
9,399467,399524,57,0.014266977
10,411419,411479,60,0.014581546
11,419321,419392,71,0.016929269
12,323587,323638,51,0.015758347
13,25194,25377,183,0.7211254
