Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1437616114709,1437616129601,14892,True,
1,count at GradientDescent.scala:161,,1440,1437616130055,1437616836427,706372,True,
2,treeAggregate at GradientDescent.scala:189,,1440,1437616837642,1437616992775,155133,True,
3,treeAggregate at GradientDescent.scala:189,2,37,1437616992792,1437616993971,1179,True,
4,treeAggregate at GradientDescent.scala:189,,1440,1437616994103,1437617164155,170052,True,
5,treeAggregate at GradientDescent.scala:189,4,37,1437617164162,1437617165169,1007,True,
6,treeAggregate at GradientDescent.scala:189,,1440,1437617165246,1437617352518,187272,True,
7,treeAggregate at GradientDescent.scala:189,6,37,1437617352526,1437617353102,576,True,
8,mean at LinearRegressionApp.java:100,,1440,1437617353191,1437617513889,160698,True,
