Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1441253324600,1441253678439,353839,0,0,0,
1,1441253678690,1441255115750,1437060,1 5 2 6 3 4,6,1,
2,1441255116400,1441257897350,2780950,15 12 9 19 16 13 17 18 10 7 14 11 8,19,7,
3,1441257898685,1441259254740,1356055,30 37 31 38 32 24 39 25 40 26 41 33 27 34 20 35 42 21 36 28 22 29 23,42,20,
4,1441259256633,1441260652737,1396104,51 60 52 74 53 75 54 76 55 47 77 48 78 70 49 71 50 72 43 73 65 44 66 45 67 46 68 69 61 62 63 64 56 57 58 59,78,43,
5,1441260655323,1441261258925,603602,102 81 103 82 125 104 83 126 105 97 127 106 98 128 99 129 121 100 122 101 93 123 94 124 116 95 117 96 88 118 89 119 111 90 120 112 91 113 92 84 114 85 115 107 86 108 87 79 130 109 80 110,130,79,
