Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,52999,53166,167,0.31411052
1,410459,410953,494,0.12020839
2,177656,177754,98,0.055132374
3,168796,168911,115,0.06808319
4,158301,158396,95,0.05997626
5,157159,157242,83,0.05278488
6,159317,159387,70,0.043918263
7,178219,178308,89,0.049913634
8,165634,165732,98,0.059131607
9,172521,172598,77,0.044612337
10,179309,179375,66,0.036794424
11,159148,159209,61,0.038314417
12,157841,157913,72,0.045594726
13,8072,8309,237,2.8523288
