Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,236984,237132,148,0.062412497
1,2045182,2045680,498,0.024343984
2,839985,840072,87,0.010356256
3,835760,835848,88,0.01052823
4,877492,877565,73,0.008318472
5,949770,949849,79,0.008317111
6,817651,817732,81,0.009905445
7,806528,806610,82,0.010166003
8,797046,797123,77,0.009659739
9,762258,762343,85,0.011149837
10,815503,815582,79,0.009686335
11,842720,842812,92,0.010915839
12,700738,700805,67,0.009560434
13,36206,36283,77,0.2122206
