Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,71832,71985,153,0.21254428
1,642352,642772,420,0.06534199
2,313300,313384,84,0.026804177
3,250880,250960,80,0.031877592
4,231865,231945,80,0.034490936
5,247749,247813,64,0.025825925
6,235226,235281,55,0.023376303
7,214931,215000,69,0.032093022
8,231562,231623,61,0.026335899
9,206025,206078,53,0.025718417
10,206372,206424,52,0.02519087
11,206371,206425,54,0.026159624
12,188442,188496,54,0.028647823
13,10063,10256,193,1.8818253
