Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,276166,276321,155,0.05609418
1,2304586,2305045,459,0.019912845
2,934144,934232,88,0.009419502
3,1084538,1084623,85,0.007836824
4,1002141,1002215,74,0.0073836455
5,1031328,1031424,96,0.00930752
6,992475,992553,78,0.007858522
7,954697,954771,74,0.0077505494
8,990077,990154,77,0.007776568
9,1029933,1030007,74,0.0071844175
10,876689,876767,78,0.00889632
11,740137,740210,73,0.009862066
12,766638,766724,86,0.011216552
13,41326,41515,189,0.45525715
