Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,400264,400412,148,0.036961928
1,1460541,1460833,292,0.019988595
2,2689316,2689408,92,0.0034208272
3,1755606,1755719,113,0.00643611
4,1579880,1579993,113,0.00715193
5,819895,820000,105,0.012804878
