Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,192505,192666,161,0.083564304
1,1595067,1595534,467,0.029269198
2,664535,664623,88,0.013240588
3,624961,625035,74,0.011839337
4,574695,574775,80,0.013918489
5,625174,625251,77,0.012315054
6,604302,604385,83,0.013732968
7,694121,694201,80,0.01152404
8,703664,703728,64,0.009094423
9,638304,638363,59,0.00924239
10,607443,607502,59,0.009711903
11,519911,519971,60,0.011539105
12,631005,631063,58,0.009190842
13,29189,29365,176,0.59935296
