Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,14897,15025,128,0.85191345
1,1357435,1357974,539,0.03969148
2,145998,146131,133,0.09101423
3,155407,155637,230,0.14777978
4,150932,151087,155,0.1025899
5,151182,151281,99,0.06544113
6,172140,172217,77,0.044711035
