Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438264923402,1438264928305,4903,True,
1,count at DataValidators.scala:38,,800,1438264928618,1438265012092,83474,True,
2,count at GradientDescent.scala:161,,800,1438265012173,1438265013161,988,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438265014108,1438265015948,1840,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438265015962,1438265016324,362,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438265016423,1438265017586,1163,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438265017593,1438265017741,148,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438265017799,1438265018756,957,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438265018761,1438265018896,135,True,
9,mean at LogisticRegressionApp.java:93,,800,1438265018946,1438265020476,1530,True,
