Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,279002,279150,148,0.053018093
1,1592272,1592645,373,0.023420159
2,745061,745132,71,0.009528513
3,766229,766294,65,0.0084823845
4,790691,790757,66,0.008346433
5,752894,752963,69,0.009163797
6,736379,736436,57,0.0077399802
7,769985,770043,58,0.0075320466
8,772816,772874,58,0.0075044576
9,750328,750383,55,0.00732959
10,679952,680017,65,0.009558585
11,719585,719645,60,0.008337444
12,672633,672691,58,0.008622087
13,56320,56395,75,0.13299051
