Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
41,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
42,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
65,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
76,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
77,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
78,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
114,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
128,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
129,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
130,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
130,105,ShuffledRDD,161 partitionBy ,104,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
0,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
3,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
2,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,false,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
4,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
5,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
6,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
12,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
17,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
18,47,GraphImpl.aggregateMessages - preAgg,58 mapPartitions ,45,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
18,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1716,0,null,null,null,null,null,null,false,false,
19,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
32,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,5491120136,1970,true,true,1688221281,true,true,
6,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
12,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
17,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
19,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
32,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
40,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
42,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
42,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
76,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
76,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
78,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
78,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
114,92,VertexRDD,152 zipPartitions ,73 90,false,true,true,false,1,1200,0,92,5534954752,1921,true,true,1578772387,true,true,
114,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
114,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
128,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
128,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
130,92,VertexRDD,152 zipPartitions ,73 90,false,true,true,true,1,1200,0,92,5534954752,1921,true,true,1578772387,true,true,
130,67,ShuffledRDD,93 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
130,30,VertexRDD,23 zipPartitions ,16 29,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
40,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
41,59,ShuffledRDD,87 partitionBy ,58,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
42,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
65,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
76,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
77,79,EdgeRDD,122 zipPartitions ,60 78,false,true,true,false,1,1200,0,79,38200288320,2461,true,true,16495120137,true,true,
77,59,ShuffledRDD,87 partitionBy ,58,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
78,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
114,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
128,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
129,104,GraphImpl.aggregateMessages - preAgg,160 mapPartitions ,102,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
129,79,EdgeRDD,122 zipPartitions ,60 78,false,true,true,true,1,1200,0,79,38200288320,2461,true,true,16495120137,true,true,
129,59,ShuffledRDD,87 partitionBy ,58,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
130,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
2,12,VertexRDD,11 mapPartitions ,9,false,true,true,false,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
4,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
6,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
12,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
17,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
19,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
32,12,VertexRDD,11 mapPartitions ,9,false,true,true,true,1,1200,0,12,5534954752,1913,true,true,1570364356,true,true,
18,40,ShuffledRDD,53 partitionBy ,39,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
41,66,GraphImpl.aggregateMessages - preAgg,92 mapPartitions ,64,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
41,40,ShuffledRDD,53 partitionBy ,39,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
77,40,ShuffledRDD,53 partitionBy ,39,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
129,40,ShuffledRDD,53 partitionBy ,39,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
77,78,ShuffledRDD,121 partitionBy ,77,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
129,78,ShuffledRDD,121 partitionBy ,77,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
40,52,VertexRDD,83 zipPartitions ,35 49,false,true,true,true,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
42,52,VertexRDD,83 zipPartitions ,35 49,false,true,true,true,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
65,52,VertexRDD,83 zipPartitions ,35 49,false,false,false,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
76,52,VertexRDD,83 zipPartitions ,35 49,false,false,false,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
78,52,VertexRDD,83 zipPartitions ,35 49,false,false,false,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
114,90,VertexRDD,151 zipPartitions ,73 87,false,true,true,false,1,1200,0,90,5536231552,2309,true,true,2428465550,true,true,
114,52,VertexRDD,83 zipPartitions ,35 49,false,false,false,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
128,90,VertexRDD,151 zipPartitions ,73 87,false,true,true,true,1,1200,0,90,5536231552,2309,true,true,2428465550,true,true,
128,52,VertexRDD,83 zipPartitions ,35 49,false,false,false,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
130,90,VertexRDD,151 zipPartitions ,73 87,false,true,true,true,1,1200,0,90,5536231552,2309,true,true,2428465550,true,true,
130,52,VertexRDD,83 zipPartitions ,35 49,false,false,false,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
3,6,VertexRDD.createRoutingTables - vid2pid (aggregation),7 mapPartitions ,3,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
32,52,VertexRDD,83 zipPartitions ,35 49,false,true,true,false,1,1200,0,52,5536231552,2148,true,true,2078050054,true,true,
2,20,ReplicatedVertexView.updateVertices - shippedVerts false false (broadcast),15 mapPartitions ,18,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
12,33,VertexRDD,49 zipPartitions ,16 30,false,true,true,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
17,33,VertexRDD,49 zipPartitions ,16 30,false,true,true,true,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
19,33,VertexRDD,49 zipPartitions ,16 30,false,true,true,true,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
32,58,ReplicatedVertexView.updateVertices - shippedVerts true true (broadcast),86 mapPartitions ,56,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
32,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
40,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
