Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,17522,17683,161,0.910479
1,1972977,1973201,224,0.0113521125
2,126004,126080,76,0.06027919
3,118584,118717,133,0.11203113
4,117737,117848,111,0.09418912
5,117082,117147,65,0.05548584
6,139107,139159,52,0.03736733
