Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,147828,147984,156,0.1054168
1,961049,961417,368,0.038276833
2,471442,471510,68,0.014421752
3,481191,481256,65,0.013506325
4,464548,464610,62,0.013344525
5,419071,419131,60,0.014315333
6,484384,484443,59,0.012178935
7,443266,443335,69,0.015563851
8,400883,400951,68,0.016959678
9,438305,438358,53,0.012090574
10,401792,401849,57,0.014184433
11,401288,401341,53,0.013205728
12,341023,341075,52,0.0152459135
13,31578,31766,188,0.59182775
