id,stageID,executorID,host,type,executionTime,finishTime,gettingResultTime,startTime,executorRunTime,executorDeserializerTime,resultSerializationTime,shuffleWriteTime,GCTime,resultSize,memoryBytesSpilled,diskBytesSpilled,shuffleBytesWritten,shuffleRecordsWritten,dataReadMethod,bytesRead,recordsRead,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleLocalBytesRead,shuffleTotalRecordsRead,
3038,8,6,9.12.247.202,ResultTask,496,1436924968791,0,1436924968295,474,1,0,null,24,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3238,8,5,9.12.247.196,ResultTask,5264,1436924975535,0,1436924970271,5257,1,0,null,36,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3438,8,0,9.12.247.197,ResultTask,6140,1436924997111,0,1436924990971,6133,1,0,null,178,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3638,8,6,9.12.247.202,ResultTask,4994,1436925024082,0,1436925019088,4964,1,0,null,114,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
38,1,9,9.12.247.199,ResultTask,23559,1436924338991,0,1436924315432,22453,1041,0,null,2309,2336,0,0,null,null,Hadoop,121457647,1180555,null,null,null,null,null,null,
238,1,9,9.12.247.199,ResultTask,15940,1436924457887,0,1436924441947,15920,5,0,null,1630,2336,0,0,null,null,Hadoop,121456701,1180555,null,null,null,null,null,null,
438,1,7,9.12.247.186,ResultTask,30509,1436924591970,0,1436924561461,30488,5,0,null,2038,2336,0,0,null,null,Hadoop,121453236,1180555,null,null,null,null,null,null,
638,1,9,9.12.247.199,ResultTask,18304,1436924695080,0,1436924676776,18289,4,0,null,538,2336,0,0,null,null,Hadoop,121454755,1180555,null,null,null,null,null,null,
838,2,3,9.12.247.192,ShuffleMapTask,246,1436924746045,0,1436924745799,216,8,0,77106,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1038,2,1,9.12.247.201,ShuffleMapTask,180,1436924748414,0,1436924748234,168,4,0,132498,29,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1238,2,9,9.12.247.199,ShuffleMapTask,4070,1436924776336,0,1436924772266,4057,4,0,81365,105,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1438,2,1,9.12.247.201,ShuffleMapTask,3796,1436924819439,0,1436924815643,3783,4,0,83143,24,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1638,4,1,9.12.247.201,ShuffleMapTask,207,1436924821704,0,1436924821497,191,4,0,94038,22,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1839,4,9,9.12.247.199,ShuffleMapTask,4371,1436924834880,0,1436924830509,4361,3,0,99692,221,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
