Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,279188,279356,168,0.060138315
1,2386903,2387367,464,0.019435639
2,1017212,1017309,97,0.009534959
3,992311,992397,86,0.008665887
4,927344,927432,88,0.009488566
5,1001902,1001979,77,0.0076847915
6,850710,850790,80,0.009403026
7,973312,973393,81,0.008321408
8,955527,955612,85,0.0088948235
9,1022746,1022830,84,0.008212509
10,943241,943315,74,0.007844675
11,906558,906636,78,0.008603232
12,764920,765006,86,0.0112417415
13,40314,40506,192,0.47400385
