Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,108285,108451,166,0.15306452
1,852874,853359,485,0.05683423
2,393572,393654,82,0.020830477
3,389313,389394,81,0.020801554
4,415999,416076,77,0.018506235
5,330670,330749,79,0.023885181
6,362666,362733,67,0.018470885
7,392549,392627,78,0.019866183
8,372476,372535,59,0.015837438
9,354098,354162,64,0.018070826
10,318382,318451,69,0.021667384
11,295452,295524,72,0.024363503
12,288735,288798,63,0.021814555
13,25288,25338,50,0.19733207
