Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1437633791735,1437633806844,15109,True,
1,count at GradientDescent.scala:161,,1440,1437633807282,1437634740011,932729,True,
2,treeAggregate at GradientDescent.scala:189,,1440,1437634741305,1437634950931,209626,True,
3,treeAggregate at GradientDescent.scala:189,2,37,1437634950947,1437634952016,1069,True,
4,treeAggregate at GradientDescent.scala:189,,1440,1437634952151,1437635191361,239210,True,
5,treeAggregate at GradientDescent.scala:189,4,37,1437635191368,1437635192037,669,True,
6,treeAggregate at GradientDescent.scala:189,,1440,1437635192122,1437635402071,209949,True,
7,treeAggregate at GradientDescent.scala:189,6,37,1437635402077,1437635402653,576,True,
8,mean at LinearRegressionApp.java:100,,1440,1437635402732,1437635606848,204116,True,
