Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1437601056062,1437601072674,16612,0,0,0,
1,1437601072734,1437601593249,520515,1,1,1,
2,1437601594370,1437601724647,130277,2 3,3,2,
3,1437601724679,1437601822357,97678,5 4,5,4,
4,1437601822382,1437601915088,92706,6 7,7,6,
5,1437601915132,1437602028963,113831,8,8,8,
