Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,264224,264361,137,0.05182308
1,1691610,1691991,381,0.02251785
2,720009,720080,71,0.0098600155
3,773234,773298,64,0.00827624
4,712338,712409,71,0.009966185
5,693693,693750,57,0.008216216
6,742970,743045,75,0.010093601
7,712793,712865,72,0.010100089
8,705856,705918,62,0.00878289
9,678220,678276,56,0.008256226
10,699301,699363,62,0.00886521
11,704477,704539,62,0.008800081
12,658467,658524,57,0.00865572
13,66289,66484,195,0.29330367
