Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,14152,14266,114,0.7991028
1,555788,556147,359,0.06455128
2,111128,111305,177,0.15902251
3,102427,102544,117,0.114097364
4,95752,95818,66,0.06888059
5,115616,115662,46,0.039771058
