Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1437603999741,1437604013893,14152,True,
1,count at GradientDescent.scala:161,,1440,1437604014317,1437604570105,555788,True,
2,treeAggregate at GradientDescent.scala:189,,1440,1437604571228,1437604681245,110017,True,
3,treeAggregate at GradientDescent.scala:189,2,37,1437604681259,1437604682370,1111,True,
4,treeAggregate at GradientDescent.scala:189,,1440,1437604682506,1437604784446,101940,True,
5,treeAggregate at GradientDescent.scala:189,4,37,1437604784453,1437604784940,487,True,
6,treeAggregate at GradientDescent.scala:189,,1440,1437604785024,1437604880338,95314,True,
7,treeAggregate at GradientDescent.scala:189,6,37,1437604880344,1437604880782,438,True,
8,mean at LinearRegressionApp.java:100,,1440,1437604880875,1437604996491,115616,True,
