Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,120225,120409,184,0.1528125
1,1116975,1117456,481,0.043044202
2,426129,426210,81,0.019004716
3,388811,388890,79,0.020314228
4,466552,466627,75,0.016072795
5,414550,414624,74,0.017847497
6,389070,389134,64,0.016446777
7,358308,358370,62,0.017300555
8,457440,457501,61,0.013333305
9,434737,434792,55,0.012649727
10,363339,363398,59,0.016235644
11,345799,345853,54,0.015613571
12,426330,426379,49,0.011492123
13,18078,18129,51,0.28131723
