Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1436920323488,1436920330545,7057,True,
1,count at GradientDescent.scala:161,,720,1436920330859,1436920451350,120491,True,
2,treeAggregate at GradientDescent.scala:189,,720,1436920452808,1436920456770,3962,True,
3,treeAggregate at GradientDescent.scala:189,2,26,1436920456785,1436920457225,440,True,
4,treeAggregate at GradientDescent.scala:189,,720,1436920457331,1436920458932,1601,True,
5,treeAggregate at GradientDescent.scala:189,4,26,1436920458953,1436920459110,157,True,
6,treeAggregate at GradientDescent.scala:189,,720,1436920459182,1436920460581,1399,True,
7,treeAggregate at GradientDescent.scala:189,6,26,1436920460587,1436920460718,131,True,
8,mean at LinearRegressionApp.java:100,,720,1436920460775,1436920463517,2742,True,
