Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1436920323409,1436920330553,7144,0,0,0,
1,1436920330641,1436920451350,120709,1,1,1,
2,1436920452700,1436920457225,4525,2 3,3,2,
3,1436920457253,1436920459110,1857,5 4,5,4,
4,1436920459135,1436920460718,1583,6 7,7,6,
5,1436920460746,1436920463517,2771,8,8,8,
