App ID,Real Duration,Estimated Duration,Error,Error Percentage,Size
app-20150722131359-0286,164684,176784,12100,7.3,28.74
app-20150722132005-0289,218724,228748,10024,4.6,33.53
app-20150722132736-0292,299496,280739,18757,6.3,38.32
app-20150722133635-0295,414454,332757,81697,19.7,43.11
app-20150722134745-0298,380521,384802,4281,1.1,47.9
app-20150722135843-0301,422636,436871,14235,3.4,52.69
app-20150722141103-0304,505108,488969,16139,3.2,57.48
app-20150722142442-0307,536858,541091,4233,0.8,62.27
app-20150722143906-0310,582157,593243,11086,1.9,67.06
app-20150722145431-0313,669588,645417,24171,3.6,71.85
app-20150722151156-0316,803204,697622,105582,13.1,76.64
app-20150722153140-0319,758644,749851,8793,1.2,81.43
app-20150722155041-0322,826923,802105,24818,3.0,86.22
app-20150722161328-0325,948939,854386,94553,10.0,91.01
app-20150722163732-0328,979497,906696,72801,7.4,95.8
app-20150722170124-0331,990600,959046,31554,3.2,100.59
app-20150722172636-0334,1003788,1011416,7628,0.8,105.38
app-20150722175210-0337,1106290,1063811,42479,3.8,110.17
app-20150722181933-0340,1117748,1116232,1516,0.1,114.96
app-20150722184711-0343,1121035,1168680,47645,4.3,119.76
app-20150722191446-0346,1240971,1221155,19816,1.6,124.55
app-20150722194443-0349,1306577,1273658,32919,2.5,129.34
app-20150722201622-0352,1337906,1326184,11722,0.9,134.13
app-20150722204831-0355,1405964,1378737,27227,1.9,138.92
app-20150722212151-0358,1434951,1431317,3634,0.3,143.71
app-20150722215607-0361,1479537,1483924,4387,0.3,148.5
app-20150722223133-0364,1522684,1536559,13875,0.9,153.29
app-20150722230735-0367,1561062,1589218,28156,1.8,158.08
app-20150722234454-0370,1646438,1641903,4535,0.3,162.87
app-20150723002318-0373,1671218,1694616,23398,1.4,167.66
app-20150723010251-0376,1715484,1747358,31874,1.9,172.45
app-20150723014308-0379,1822186,1800121,22065,1.2,177.24
app-20150723022529-0382,1925745,1852913,72832,3.8,182.03
app-20150723030937-0385,2087609,1905731,181878,8.7,186.83
app-20150723035731-0388,1935586,1958576,22990,1.2,191.62
