Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1437620170938,1437620187175,16237,True,
1,count at GradientDescent.scala:161,,1440,1437620187586,1437620947943,760357,True,
2,treeAggregate at GradientDescent.scala:189,,1440,1437620949157,1437621114957,165800,True,
3,treeAggregate at GradientDescent.scala:189,2,37,1437621114971,1437621116004,1033,True,
4,treeAggregate at GradientDescent.scala:189,,1440,1437621116149,1437621284751,168602,True,
5,treeAggregate at GradientDescent.scala:189,4,37,1437621284757,1437621285269,512,True,
6,treeAggregate at GradientDescent.scala:189,,1440,1437621285352,1437621473643,188291,True,
7,treeAggregate at GradientDescent.scala:189,6,37,1437621473650,1437621474139,489,True,
8,mean at LinearRegressionApp.java:100,,1440,1437621474229,1437621643212,168983,True,
