Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1437620170829,1437620187181,16352,0,0,0,
1,1437620187238,1437620947943,760705,1,1,1,
2,1437620948969,1437621116004,167035,2 3,3,2,
3,1437621116034,1437621285269,169235,5 4,5,4,
4,1437621285294,1437621474139,188845,6 7,7,6,
5,1437621474182,1437621643212,169030,8,8,8,
