Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,91211,91364,153,0.16746202
1,647552,648001,449,0.06929001
2,279150,279236,86,0.030798322
3,278855,278927,72,0.025813205
4,257901,257981,80,0.031010035
5,273961,274020,59,0.021531276
6,261725,261782,57,0.021773843
7,253695,253757,62,0.024432823
8,262734,262790,56,0.021309791
9,268175,268229,54,0.02013205
10,255752,255806,54,0.021109747
11,261349,261402,53,0.020275285
12,306186,306236,50,0.016327277
13,11149,11338,189,1.6669607
