Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,6071,6155,84,1.3647441
1,117823,118062,239,0.202436
2,1073,1139,66,5.7945566
3,2346,2452,106,4.3230014
4,1260,1331,71,5.3343353
5,1213,1250,37,2.96
6,1901,1929,28,1.4515293
