Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438265195725,1438265201880,6155,0,0,0,
1,1438265202051,1438265320113,118062,1,1,1,
2,1438265320128,1438265321267,1139,2,2,2,
3,1438265322622,1438265325074,2452,3 4,4,3,
4,1438265325101,1438265326432,1331,5 6,6,5,
5,1438265326464,1438265327714,1250,7 8,8,7,
6,1438265327740,1438265329669,1929,9,9,9,
