Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438274625607,1438274638839,13232,True,
1,count at DataValidators.scala:38,,800,1438274639140,1438275218783,579643,True,
2,count at GradientDescent.scala:161,,800,1438275218856,1438275249330,30474,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438275250485,1438275282812,32327,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438275282825,1438275284859,2034,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438275284958,1438275315187,30229,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438275315195,1438275315441,246,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438275315516,1438275347970,32454,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438275347975,1438275348189,214,True,
9,mean at LogisticRegressionApp.java:93,,800,1438275348279,1438275380370,32091,True,
