Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,84126,84283,157,0.18627718
1,677029,677514,485,0.07158524
2,293439,293545,106,0.036110308
3,308006,308113,107,0.03472752
4,278041,278138,97,0.034874775
5,286144,286230,86,0.030045766
6,251381,251454,73,0.029031156
7,215251,215326,75,0.03483091
8,261994,262087,93,0.0354844
9,264467,264526,59,0.022304047
10,222692,222770,78,0.03501369
11,246032,246108,76,0.030880751
12,255010,255080,70,0.027442371
13,9916,10208,292,2.8605015
