Training Perc,2.28GB,4.84GB,7.38GB,9.93GB,12.47GB,15.01GB,17.56GB,20.12GB,22.83GB,25.67GB,28.51GB,31.34GB,34.17GB,37.0GB,39.82GB,42.65GB,45.48GB,48.31GB,
0.5,339954,450204,139066,737074,1269102,456398,499851,449577,299316,507802,776536,347744,1219055,807098,1541053,720336,1477526,1655069,
0.6,507770,414483,81013,623839,1140779,558887,534094,371235,546121,28540,6588,772672,313382,1200100,1005281,2432708,2318741,2796728,
0.7,487030,434627,71213,629414,1161882,526686,499990,349329,534362,104590,182878,453786,196990,443113,59882,990384,456239,489486,
0.8,385873,455319,103565,691505,1233793,461169,453638,331530,515814,163379,279194,327505,340823,298982,182240,916828,463482,613969,
