Training Perc,2.28GB,4.84GB,7.38GB,9.93GB,12.47GB,15.01GB,17.56GB,20.12GB,22.83GB,25.67GB,28.51GB,31.34GB,34.17GB,37.0GB,39.82GB,42.65GB,45.48GB,48.31GB,
0.5,797906,1387875,1980739,2581369,3184812,3795271,4413501,5041327,5712348,6422804,7139361,7862505,8592816,9329793,10073692,10826548,11587759,12354198,
0.6,630090,1352154,2038792,2694604,3313135,3897760,4447744,4962985,5465543,5943542,6369413,6742089,7060379,7322595,7527358,7673504,7791492,7902401,
0.7,650830,1372298,2048592,2689029,3292032,3865559,4413640,4941079,5477302,6019592,6545703,7060975,7570751,8079582,8592521,9115828,9653994,10209643,
0.8,751987,1392990,2016240,2626938,3220121,3800042,4367288,4923280,5495850,6078381,6642019,7187256,7714584,8223713,8714879,9189384,9646751,10085160,
