Training Perc,2.28GB,4.84GB,7.38GB,9.93GB,12.47GB,15.01GB,17.56GB,20.12GB,22.83GB,25.67GB,28.51GB,31.34GB,34.17GB,37.0GB,39.82GB,42.65GB,45.48GB,48.31GB,
0.5,1137860,937671,2119805,3318443,4453914,3338873,3913650,4591750,6011664,5915002,6362825,7514761,7373761,8522695,8532639,10106212,10110233,10699129,
0.6,1137860,937671,2119805,3318443,4453914,3338873,3913650,4591750,6011664,5915002,6362825,7514761,7373761,8522695,8532639,10106212,10110233,10699129,
0.7,1137860,937671,2119805,3318443,4453914,3338873,3913650,4591750,6011664,5915002,6362825,7514761,7373761,8522695,8532639,10106212,10110233,10699129,
0.8,1137860,937671,2119805,3318443,4453914,3338873,3913650,4591750,6011664,5915002,6362825,7514761,7373761,8522695,8532639,10106212,10110233,10699129,
