Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
207,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,134,VertexRDD,234 zipPartitions ,122 132,false,false,false,false,1,1200,0,134,10863095544,2246,true,true,4897331587,true,true,
208,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
209,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
238,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,134,VertexRDD,234 zipPartitions ,122 132,false,false,false,false,1,1200,0,134,10863095544,2246,true,true,4897331587,true,true,
239,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
240,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,134,VertexRDD,234 zipPartitions ,122 132,false,false,false,false,1,1200,0,134,10863095544,2246,true,true,4897331587,true,true,
270,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
7,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
9,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
18,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
20,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
31,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
33,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
33,68,EdgeRDD,100 zipPartitions ,56 67,false,true,true,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
46,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
46,68,EdgeRDD,100 zipPartitions ,56 67,false,true,true,true,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
48,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
48,68,EdgeRDD,100 zipPartitions ,56 67,false,true,true,true,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
63,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
63,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
65,93,EdgeRDDImpl,null,92,false,true,true,true,1,1200,0,null,null,null,null,null,null,true,true,
65,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
82,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
82,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
84,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
84,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
103,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
103,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
105,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
105,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
126,118,GraphImpl.aggregateMessages - preAgg,208 mapPartitions ,116,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
126,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
126,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
128,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
128,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
151,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
151,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
153,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
153,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
178,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
178,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
180,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
180,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
207,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
207,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
208,158,VertexRDD,280 zipPartitions ,146 156,false,true,true,false,1,1200,0,158,10863095544,2369,true,true,5473221645,true,true,
209,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
209,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
238,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
238,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
239,158,VertexRDD,280 zipPartitions ,146 156,false,true,true,true,1,1200,0,158,10863095544,2369,true,true,5473221645,true,true,
240,24,EdgeRDD,19 mapPartitions ,22,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
240,68,EdgeRDD,100 zipPartitions ,56 67,false,false,false,false,1,1200,0,68,92468281872,2328,true,true,54626239503,true,true,
270,158,VertexRDD,280 zipPartitions ,146 156,false,false,false,false,1,1200,0,158,10863095544,2369,true,true,5473221645,true,true,
0,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
4,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
5,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
3,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,false,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
6,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
7,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
8,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
9,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
18,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
19,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
19,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
20,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
31,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
32,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
32,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
33,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
46,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
47,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
