Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,213295,213458,163,0.07636163
1,1862618,1863055,437,0.023456099
2,730612,730705,93,0.012727434
3,765201,765286,85,0.011106959
4,688796,688872,76,0.011032529
5,721527,721610,83,0.011502058
6,698912,698994,82,0.011731145
7,789014,789097,83,0.0105183525
8,772251,772343,92,0.011911807
9,743751,743811,60,0.008066566
10,574218,574284,66,0.011492572
11,609880,609939,59,0.009673098
12,696376,696435,59,0.008471717
13,24040,24093,53,0.21998091
