Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440173683065,1440173693476,10411,True,
1,count at DataValidators.scala:38,,800,1440173693796,1440174477336,783540,True,
2,count at GradientDescent.scala:161,,800,1440174477412,1440174525639,48227,True,
3,treeAggregate at GradientDescent.scala:189,,800,1440174526751,1440174578729,51978,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1440174578748,1440174579771,1023,True,
5,treeAggregate at GradientDescent.scala:189,,800,1440174579868,1440174629954,50086,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1440174629961,1440174630227,266,True,
7,treeAggregate at GradientDescent.scala:189,,800,1440174630288,1440174680310,50022,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1440174680315,1440174680673,358,True,
9,mean at LogisticRegressionApp.java:93,,800,1440174680729,1440174734967,54238,True,
