Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438266311245,1438266319193,7948,0,0,0,
1,1438266319254,1438266537866,218612,1,1,1,
2,1438266537881,1438266538895,1014,2,2,2,
3,1438266539904,1438266542647,2743,3 4,4,3,
4,1438266542673,1438266544419,1746,5 6,6,5,
5,1438266544442,1438266546107,1665,7 8,8,7,
6,1438266546134,1438266549438,3304,9,9,9,
