Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1441245483843,1441245808794,324951,0,0,0,
1,1441245809077,1441246913784,1104707,1 5 2 6 3 4,6,1,
2,1441246914612,1441249498977,2584365,15 12 9 19 16 13 17 18 10 7 14 11 8,19,7,
3,1441249500839,1441251001705,1500866,30 37 31 38 32 24 39 25 40 26 41 33 27 34 20 35 42 21 36 28 22 29 23,42,20,
4,1441251004509,1441252228995,1224486,51 60 52 74 53 75 54 76 55 47 77 48 78 70 49 71 50 72 43 73 65 44 66 45 67 46 68 69 61 62 63 64 56 57 58 59,78,43,
5,1441252232917,1441252875508,642591,102 81 103 82 125 104 83 126 105 97 127 106 98 128 99 129 121 100 122 101 93 123 94 124 116 95 117 96 88 118 89 119 111 90 120 112 91 113 92 84 114 85 115 107 86 108 87 79 130 109 80 110,130,79,
