Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,98307,98482,175,0.17769744
1,328238,328555,317,0.09648309
2,878674,878795,121,0.013768854
3,367603,367717,114,0.031002102
4,401574,401686,112,0.027882477
5,149338,149418,80,0.05354107
