App ID,Real Duration,Estimated Duration,Error,Error Percentage,Size
app-20150724132028-0391,1137860,751987,385873,33.9,2.28
app-20150724134231-0394,937671,1392990,455319,48.6,4.84
app-20150724140110-0397,2119805,2016240,103565,4.9,7.38
app-20150724143959-0400,3318443,2626938,691505,20.8,9.93
app-20150724153856-0403,4453914,3220121,1233793,27.7,12.47
app-20150724165655-0406,3338873,3800042,461169,13.8,15.01
app-20150724175627-0409,3913650,4367288,453638,11.6,17.56
app-20150724190548-0412,4591750,4923280,331530,7.2,20.12
app-20150724202640-0415,6011664,5495850,515814,8.6,22.83
app-20150724221135-0418,5915002,6078381,163379,2.8,25.67
app-20150724235520-0421,6362825,6642019,279194,4.4,28.51
app-20150725014645-0424,7514761,7187256,327505,4.4,31.34
app-20150725035730-0427,7373761,7714584,340823,4.6,34.17
app-20150725060635-0430,8522695,8223713,298982,3.5,37.0
app-20150725083447-0433,8532639,8714879,182240,2.1,39.82
app-20150725110329-0436,10106212,9189384,916828,9.1,42.65
app-20150725135856-0439,10110233,9646751,463482,4.6,45.48
app-20150725165445-0442,10699129,10085160,613969,5.7,48.31
