Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
0,15228,11763,3465,0.22754137115839243,2.2809087680652738,0.003045190093684636
64,7838,6703,1135,0.14480734881347282,2.2809087680652738,9.974865097639428E-4
128,14807,14362,445,0.030053353143783344,2.2809087680652738,3.91085019246656E-4
65,15024,34144,19120,1.2726304579339722,2.2809087680652738,0.016803473186508006
3,17431,17082,349,0.02002180024095003,2.2809087680652738,3.067161162181639E-4
4,9345,9228,117,0.012520064205457464,2.2809087680652738,1.0282460056597472E-4
5,12839,11324,1515,0.11799984422462809,2.2809087680652738,0.0013314467509183906
6,20326,21748,1422,0.06995965758142281,2.2809087680652738,0.001249714376109539
7,21850,52285,30435,1.3929061784897026,2.2809087680652738,0.02674757878825163
8,9065,37159,28094,3.0991726420297847,2.2809087680652738,0.024690207934192257
9,21275,43848,22573,1.0610105757931845,2.2809087680652738,0.01983811716731408
270,18352,16368,1984,0.10810810810810811,2.2809087680652738,0.0017436239959221697
207,6662,8228,1566,0.23506454518162714,2.2809087680652738,0.001376267730652277
208,7142,4793,2349,0.3288994679361523,2.2809087680652738,0.0020644015959784155
209,12431,24890,12459,1.0022524334325478,2.2809087680652738,0.010949501696166488
18,6086,9859,3773,0.6199474203089057,2.2809087680652738,0.0033158736575677147
82,6356,11206,4850,0.763058527375708,2.2809087680652738,0.0042623872884186105
19,7641,10753,3112,0.40727653448501505,2.2809087680652738,0.0027349586065069514
83,8036,7999,37,0.004604280736684918,2.2809087680652738,3.251718137556465E-5
20,14453,34225,19772,1.3680204801771259,2.2809087680652738,0.01737647865290985
84,21543,18207,3336,0.15485308452861718,2.2809087680652738,0.0029318193802401
151,6187,6318,131,0.02117342815581057,2.2809087680652738,1.1512839892429648E-4
152,7591,565,7026,0.9255697536556449,2.2809087680652738,0.006174749090397764
153,12760,37967,25207,1.9754702194357368,2.2809087680652738,0.022152988944158333
31,5180,36154,30974,5.97953667953668,2.2809087680652738,0.02722127502504702
32,11114,9349,1765,0.1588087097354688,2.2809087680652738,0.0015511574358884222
33,19871,14406,5465,0.27502390418197376,2.2809087680652738,0.004802875573444888
103,5858,9957,4099,0.699726869238648,2.2809087680652738,0.0036023763907686358
104,8318,3746,4572,0.5496513584996393,2.2809087680652738,0.004018069006731935
105,22043,28142,6099,0.27668647643242755,2.2809087680652738,0.005360061870528888
46,4912,3882,1030,0.20969055374592835,2.2809087680652738,9.052080220765296E-4
238,6136,6402,266,0.043350717079530636,2.2809087680652738,2.3377216880811347E-4
47,7490,4024,3466,0.46275033377837116,2.2809087680652738,0.0030460689364245164
239,7563,22707,15144,2.00238000793336,2.2809087680652738,0.013309194452744626
48,16221,40241,24020,1.4807964983663153,2.2809087680652738,0.021109802611920622
240,15292,87964,72672,4.752288778446246,2.2809087680652738,0.0638672595925685
178,6008,4716,1292,0.21504660452729693,2.2809087680652738,0.0011354648199251227
179,7351,7417,66,0.008978370289756496,2.2809087680652738,5.800362083208831E-5
180,16126,28109,11983,0.743085700111621,2.2809087680652738,0.010531172551983548
126,5937,9674,3737,0.6294424793666835,2.2809087680652738,0.0032842353189320305
63,6566,9818,3252,0.4952787084983247,2.2809087680652738,0.0028579965900901692
127,7878,565,7313,0.9282812896674283,2.2809087680652738,0.00642697695674336
0,23485,26373,2888,0.12297210985735577,4.838452653028071,0.0030799715465232476
64,11994,16603,4609,0.3842754710688678,4.838452653028071,0.00491537010315985
128,39671,52685,13014,0.32804819641551763,4.838452653028071,0.013879068457913276
65,50576,59551,8975,0.17745571021828535,4.838452653028071,0.009571587475777752
3,21123,23344,2221,0.1051460493301141,4.838452653028071,0.0023686346277105724
4,13756,17385,3629,0.2638121546961326,4.838452653028071,0.00387022740385487
5,18676,23517,4841,0.25920968087384877,4.838452653028071,0.005162791640138172
6,26800,29135,2335,0.0871268656716418,4.838452653028071,0.0024902124519154373
7,50018,76632,26614,0.5320884481586629,4.838452653028071,0.028383089591125246
8,16437,43087,26650,1.621342094056093,4.838452653028071,0.02842148258824257
9,41408,100211,58803,1.4200879057187017,4.838452653028071,0.06271176137472526
270,11000,16065,5065,0.46045454545454545,4.838452653028071,0.00540168139997931
207,12582,16999,4417,0.3510570656493403,4.838452653028071,0.004710607451867446
208,12858,12955,97,0.00754394151501011,4.838452653028071,1.0344779778835007E-4
209,36525,48545,12020,0.3290896646132786,4.838452653028071,0.012818995148618225
18,12011,18223,6212,0.5171925734743152,4.838452653028071,0.006624924947022996
82,14421,19730,5309,0.368143679356494,4.838452653028071,0.005661900602663407
19,13338,19536,6198,0.46468735942420153,4.838452653028071,0.006609994337032925
83,12718,17825,5107,0.4015568485610945,4.838452653028071,0.005446473229949524
20,40959,77037,36078,0.8808320515637589,4.838452653028071,0.03847618194441334
84,35551,56778,21227,0.597085876627943,4.838452653028071,0.0226380041613743
151,12886,15673,2787,0.21628123544932484,4.838452653028071,0.0029722578601663057
152,11397,9804,1593,0.13977362463806264,4.838452653028071,0.0016988901224416666
153,37470,61314,23844,0.6363490792634108,4.838452653028071,0.025428961757375454
31,12415,42694,30279,2.4389045509464355,4.838452653028071,0.03229170999209744
32,14896,18982,4086,0.2743018259935553,4.838452653028071,0.004357605172816479
33,37953,54051,16098,0.42415619318630937,4.838452653028071,0.017168068544297522
103,15699,18601,2902,0.18485253837824064,4.838452653028071,0.0030949021565133184
104,12292,13737,1445,0.11755613407094045,4.838452653028071,0.0015410522454037717
105,37880,54761,16881,0.4456441393875396,4.838452653028071,0.018003116231599357
46,16362,13149,3213,0.19636963696369636,4.838452653028071,0.003426574992721328
238,12682,15991,3309,0.2609209903800662,4.838452653028071,0.0035289563183675296
47,11025,14175,3150,0.2857142857142857,4.838452653028071,0.0033593872477660075
239,10065,30795,20730,2.0596125186289123,4.838452653028071,0.022107967506726774
48,43196,65012,21816,0.5050467635892212,4.838452653028071,0.023266156253099433
240,37621,103734,66113,1.7573429733393584,4.838452653028071,0.07050767273382669
178,11678,13780,2102,0.17999657475595135,4.838452653028071,0.0022417244427949674
179,12783,16050,3267,0.2555738089650317,4.838452653028071,0.003484164488397316
