Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438268464995,1438268474969,9974,0,0,0,
1,1438268475027,1438268818632,343605,1,1,1,
2,1438268818650,1438268822075,3425,2,2,2,
3,1438268823204,1438268830466,7262,3 4,4,3,
4,1438268830497,1438268834665,4168,5 6,6,5,
5,1438268834689,1438268838356,3667,7 8,8,7,
6,1438268838492,1438268845074,6582,9,9,9,
