Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438269887953,1438269899064,11111,0,0,0,
1,1438269899123,1438270305151,406028,1,1,1,
2,1438270305169,1438270315844,10675,2,2,2,
3,1438270316861,1438270333033,16172,3 4,4,3,
4,1438270333060,1438270346658,13598,5 6,6,5,
5,1438270346682,1438270359414,12732,7 8,8,7,
6,1438270359439,1438270374582,15143,9,9,9,
