Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,307880,308065,185,0.06005226
1,2533114,2533582,468,0.01847187
2,1072389,1072475,86,0.008018835
3,1109290,1109387,97,0.008743567
4,1207968,1208044,76,0.0062911618
5,1190588,1190665,77,0.0064669745
6,1018218,1018290,72,0.0070706774
7,1076299,1076376,77,0.007153634
8,1177456,1177539,83,0.0070485985
9,1018174,1018249,75,0.007365586
10,1086714,1086788,74,0.006809056
11,1087145,1087216,71,0.0065304413
12,980302,980388,86,0.008772037
13,58532,58648,116,0.19779022
