Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1437598245080,1437598259840,14760,True,
1,count at GradientDescent.scala:161,,720,1437598260137,1437598731322,471185,True,
2,treeAggregate at GradientDescent.scala:189,,720,1437598732446,1437598829217,96771,True,
3,treeAggregate at GradientDescent.scala:189,2,26,1437598829234,1437598829960,726,True,
4,treeAggregate at GradientDescent.scala:189,,720,1437598830089,1437598912225,82136,True,
5,treeAggregate at GradientDescent.scala:189,4,26,1437598912231,1437598912506,275,True,
6,treeAggregate at GradientDescent.scala:189,,720,1437598912586,1437598984329,71743,True,
7,treeAggregate at GradientDescent.scala:189,6,26,1437598984335,1437598984622,287,True,
8,mean at LinearRegressionApp.java:100,,720,1437598984686,1437599065456,80770,True,
