Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,146104,146263,159,0.10870829
1,1145241,1145699,458,0.039975595
2,535349,535452,103,0.019236086
3,470598,470699,101,0.021457449
4,495003,495119,116,0.023428712
5,567369,567533,164,0.028896999
6,533068,533192,124,0.023256162
7,487912,488002,90,0.018442547
8,522920,523014,94,0.01797275
9,480291,480369,78,0.016237518
10,495271,495368,97,0.019581402
11,527326,527402,76,0.014410259
12,394696,394781,85,0.021530924
13,25155,25433,278,1.0930681
