Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,31694,31847,153,0.48042202
1,378814,379256,442,0.11654397
2,132797,132878,81,0.06095817
3,147384,147468,84,0.05696151
4,153511,153575,64,0.041673448
5,128744,128807,63,0.048910383
6,125648,125717,69,0.05488518
7,115296,115352,56,0.048547056
8,130040,130101,61,0.04688665
9,125462,125516,54,0.0430224
10,134546,134600,54,0.04011887
11,121204,121268,64,0.05277567
12,126108,126168,60,0.04755564
13,9098,9151,53,0.57917166
