Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,255561,255733,172,0.06725765
1,2277758,2278179,421,0.018479671
2,884025,884115,90,0.010179671
3,765284,765373,89,0.011628317
4,766011,766087,76,0.009920544
5,908670,908746,76,0.008363172
6,986105,986180,75,0.0076051024
7,951193,951271,78,0.008199556
8,754296,754377,81,0.010737336
9,741453,741534,81,0.010923302
10,897257,897336,79,0.008803837
11,947512,947582,70,0.0073872237
12,938489,938574,85,0.0090562925
13,35775,35958,183,0.5089271
