Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440164435848,1440164439354,3506,True,
1,count at DataValidators.scala:38,,800,1440164439650,1440164511827,72177,True,
2,count at GradientDescent.scala:161,,800,1440164511919,1440164513039,1120,True,
3,treeAggregate at GradientDescent.scala:189,,800,1440164514197,1440164516828,2631,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1440164516842,1440164517195,353,True,
5,treeAggregate at GradientDescent.scala:189,,800,1440164517288,1440164518351,1063,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1440164518357,1440164518539,182,True,
7,treeAggregate at GradientDescent.scala:189,,800,1440164518597,1440164519656,1059,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1440164519661,1440164519795,134,True,
9,mean at LogisticRegressionApp.java:93,,800,1440164519846,1440164521369,1523,True,
