Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,122481,122641,160,0.13046208
1,1089588,1090016,428,0.03926548
2,440549,440631,82,0.018609677
3,487108,487187,79,0.01621554
4,520086,520168,82,0.015764138
5,443352,443429,77,0.017364673
6,430354,430421,67,0.015566154
7,499085,499154,69,0.01382339
8,447358,447423,65,0.014527639
9,476006,476067,61,0.012813322
10,402327,402385,58,0.014414056
11,386181,386237,56,0.014498871
12,380563,380621,58,0.015238255
13,21785,21845,60,0.2746624
