App ID,Real Duration,Estimated Duration,Error,Error Percentage,Size
app-20150722131359-0286,164684,162446,2238,1.4,28.74
app-20150722132005-0289,218724,218910,186,0.1,33.53
app-20150722132736-0292,299496,275374,24122,8.1,38.32
app-20150722133635-0295,414454,331838,82616,19.9,43.11
app-20150722134745-0298,380521,388302,7781,2.0,47.9
app-20150722135843-0301,422636,444764,22128,5.2,52.69
app-20150722141103-0304,505108,501230,3878,0.8,57.48
app-20150722142442-0307,536858,557694,20836,3.9,62.27
app-20150722143906-0310,582157,614158,32001,5.5,67.06
app-20150722145431-0313,669588,670623,1035,0.2,71.85
app-20150722151156-0316,803204,727087,76117,9.5,76.64
app-20150722153140-0319,758644,783550,24906,3.3,81.43
app-20150722155041-0322,826923,840017,13094,1.6,86.22
app-20150722161328-0325,948939,896480,52459,5.5,91.01
app-20150722163732-0328,979497,952942,26555,2.7,95.8
app-20150722170124-0331,990600,1009427,18827,1.9,100.59
app-20150722172636-0334,1003788,1065900,62112,6.2,105.38
app-20150722175210-0337,1106290,1122372,16082,1.5,110.17
app-20150722181933-0340,1117748,1178845,61097,5.5,114.96
app-20150722184711-0343,1121035,1235319,114284,10.2,119.76
app-20150722191446-0346,1240971,1291790,50819,4.1,124.55
app-20150722194443-0349,1306577,1348262,41685,3.2,129.34
app-20150722201622-0352,1337906,1404734,66828,5.0,134.13
app-20150722204831-0355,1405964,1461208,55244,3.9,138.92
app-20150722212151-0358,1434951,1517680,82729,5.8,143.71
app-20150722215607-0361,1479537,1574153,94616,6.4,148.5
app-20150722223133-0364,1522684,1630628,107944,7.1,153.29
app-20150722230735-0367,1561062,1687097,126035,8.1,158.08
app-20150722234454-0370,1646438,1743570,97132,5.9,162.87
app-20150723002318-0373,1671218,1800044,128826,7.7,167.66
app-20150723010251-0376,1715484,1856514,141030,8.2,172.45
app-20150723014308-0379,1822186,1912990,90804,5.0,177.24
app-20150723022529-0382,1925745,1969462,43717,2.3,182.03
app-20150723030937-0385,2087609,2025934,61675,3.0,186.83
app-20150723035731-0388,1935586,2082405,146819,7.6,191.62
