Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1440576355114,1440576368964,13850,0,0,0,
1,1440576369035,1440580133439,3764404,1,1,1,
2,1440580133457,1440580378044,244587,2,2,2,
3,1440580379094,1440580644257,265163,3 4,4,3,
4,1440580644293,1440580910094,265801,5 6,6,5,
5,1440580910121,1440581169302,259181,7 8,8,7,
6,1440581169346,1440581435073,265727,9,9,9,
