Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438265888132,1438265894916,6784,True,
1,count at DataValidators.scala:38,,800,1438265895196,1438266087173,191977,True,
2,count at GradientDescent.scala:161,,800,1438266087251,1438266088230,979,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438266089261,1438266091486,2225,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438266091503,1438266091893,390,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438266092004,1438266093387,1383,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438266093393,1438266093542,149,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438266093600,1438266094900,1300,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438266094905,1438266095015,110,True,
9,mean at LogisticRegressionApp.java:93,,800,1438266095069,1438266097751,2682,True,
