Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438265888048,1438265894923,6875,0,0,0,
1,1438265894968,1438266087173,192205,1,1,1,
2,1438266087190,1438266088230,1040,2,2,2,
3,1438266089163,1438266091894,2731,3 4,4,3,
4,1438266091923,1438266093542,1619,5 6,6,5,
5,1438266093565,1438266095015,1450,7 8,8,7,
6,1438266095040,1438266097751,2711,9,9,9,
