Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,35732,35892,160,0.4457818
1,444921,445385,464,0.104179524
2,172178,172259,81,0.047022216
3,149490,149570,80,0.053486664
4,159152,159221,69,0.043335993
5,180079,180136,57,0.031642757
6,146842,146905,63,0.042884856
7,149808,149902,94,0.06270764
8,166268,166327,59,0.035472292
9,164745,164796,51,0.030947354
10,151521,151582,61,0.040242244
11,167948,168004,56,0.033332538
12,142492,142545,53,0.03718124
13,13889,14070,181,1.286425
